State_code,District_code,Subdistrict_code,Subdistrict_name,Number of households_total,population_total,Area_total,population density_total,State_name,District_name,Household density,% Rural Population,% Rural Households,% Rural Area,fiber_length_km,fiber_per_sqkm
2,24,107,Khundian,8268,38231,190.7072612680079,200.0,HIMACHAL PRADESH,Kangra,43.354405831357816,100.0,100.0,100.0,117.3356,0.6153
2,24,108,Thural,4658,19287,57.681047114679686,334.0,HIMACHAL PRADESH,Kangra,80.75442858620627,100.0,100.0,100.0,52.8232,0.9158
2,24,109,Dhira,5298,22119,81.18564061997238,272.0,HIMACHAL PRADESH,Kangra,65.25784559365349,100.0,100.0,100.0,81.0027,0.9977
2,24,110,Jaisinghpur,15393,61082,191.00285242657404,320.0,HIMACHAL PRADESH,Kangra,80.59041948558036,100.0,100.0,100.0,173.8471,0.9102
2,24,111,Palampur,44501,189276,429.2900974251571,441.0,HIMACHAL PRADESH,Kangra,103.6618367554084,98.12813034933112,98.1079076874677,99.84392838222485,283.9882,0.6615
2,24,112,Baijnath,22112,95229,296.03964170326145,322.0,HIMACHAL PRADESH,Kangra,74.69269950733221,100.0,100.0,100.0,145.5972,0.4918
2,24,113,Multhan,1548,7612,978.9979171710116,8.0,HIMACHAL PRADESH,Kangra,1.581208675574327,100.0,100.0,100.0,44.7339,0.0457
2,25,114,Udaipur,1869,8889,1798.5447073717748,5.0,HIMACHAL PRADESH,Lahul & Spiti,1.0391735008529102,100.0,100.0,100.0,65.8064,0.0366
2,25,115,Lahul,2222,10218,4923.782688955602,2.0,HIMACHAL PRADESH,Lahul & Spiti,0.4512790552239654,100.0,100.0,100.0,159.2573,0.0323
2,25,116,Spiti,2583,12457,7118.678526790516,2.0,HIMACHAL PRADESH,Lahul & Spiti,0.362848243572049,100.0,100.0,100.0,148.7108,0.0209
2,26,117,Manali,12450,51661,751.7321605081908,69.0,HIMACHAL PRADESH,Kullu,16.561749854607086,84.32860378235031,81.71084337349399,99.60092169025044,99.8556,0.1328
2,26,118,Kullu,44056,206716,2809.0409314870026,74.0,HIMACHAL PRADESH,Kullu,15.68364472947654,84.57739120339016,82.35881605229707,99.57636786753048,435.7724,0.1551
2,26,119,Sainj,5310,25908,272.0176914415878,95.0,HIMACHAL PRADESH,Kullu,19.52078915109921,100.0,100.0,100.0,80.8153,0.2971
2,26,120,Banjar,8642,43612,956.6394846825428,46.0,HIMACHAL PRADESH,Kullu,9.033706154066822,96.75777308997525,95.3714417958806,99.76689233136348,90.0449,0.0941
2,26,121,Ani,12292,56917,300.3005015201061,190.0,HIMACHAL PRADESH,Kullu,40.932332572801286,100.0,100.0,100.0,85.7259,0.2855
2,26,122,Nermand,12057,53089,413.27847516106607,128.0,HIMACHAL PRADESH,Kullu,29.17403330841524,100.0,100.0,100.0,86.0836,0.2083
2,27,123,Padhar,10432,49357,409.4823241080118,121.0,HIMACHAL PRADESH,Mandi,25.47606913857479,100.0,100.0,100.0,131.6344,0.3215
2,27,124,Jogindarnagar,19597,84470,277.50303691048475,304.0,HIMACHAL PRADESH,Mandi,70.61904697757049,93.68414821830235,93.50410777159767,98.46848522909283,126.8852,0.4572
2,27,125,Lad Bharol,6438,25832,84.85477987968962,304.0,HIMACHAL PRADESH,Mandi,75.8707996076125,100.0,100.0,100.0,38.9834,0.4594
2,27,126,Sandhol,4199,16925,59.42185705826235,285.0,HIMACHAL PRADESH,Mandi,70.66423380008027,100.0,100.0,100.0,39.7277,0.6686
2,27,127,Dharmpur,8292,34777,115.3374872163038,302.0,HIMACHAL PRADESH,Mandi,71.89336442235118,100.0,100.0,100.0,74.631,0.6471
2,27,128,Kotli,5775,25860,89.13789670532387,290.0,HIMACHAL PRADESH,Mandi,64.78725899368322,100.0,100.0,100.0,56.3275,0.6319
2,27,129,Sarkaghat,15828,64269,146.40286199697803,439.0,HIMACHAL PRADESH,Mandi,108.11264058708574,92.66364810406262,92.5195855446045,97.98501206891646,35.8874,0.2451
2,27,130,Bhadrota,4934,21542,88.33034007232838,244.0,HIMACHAL PRADESH,Mandi,55.85849659312808,100.0,100.0,100.0,20.73,0.2347
2,27,131,Baldwara,10107,43811,94.6476818342424,463.0,HIMACHAL PRADESH,Mandi,106.7854996987724,100.0,100.0,100.0,16.83,0.1778
2,27,132,Sundarnagar,24005,111351,244.51588178799847,455.0,HIMACHAL PRADESH,Mandi,98.17358211853474,78.13760091961454,75.63007706727764,94.96556219171356,101.6153,0.4156
2,27,133,Mandi,47425,216051,591.2745666547411,365.0,HIMACHAL PRADESH,Mandi,80.20808381513314,86.92762357036071,85.04797047970479,98.60809166094138,513.2039,0.868
2,27,134,Aut,6032,30893,150.66553435089085,205.0,HIMACHAL PRADESH,Mandi,40.035699113188286,100.0,100.0,100.0,48.7924,0.3238
2,27,135,Bali Chowki,7220,37913,192.1167007660386,197.0,HIMACHAL PRADESH,Mandi,37.58132411815971,100.0,100.0,100.0,95.3401,0.4963
2,27,136,Thunag,10872,50308,313.5670850270424,160.0,HIMACHAL PRADESH,Mandi,34.67200646733181,100.0,100.0,100.0,128.4796,0.4097
2,27,137,Chachyot,12416,57723,242.3487677855296,238.0,HIMACHAL PRADESH,Mandi,51.23195019084123,100.0,100.0,100.0,113.335,0.4677
2,27,138,Nihri,6908,35569,326.8866583535374,109.0,HIMACHAL PRADESH,Mandi,21.132707082002707,100.0,100.0,100.0,58.7086,0.1796
2,27,139,Karsog,18665,93126,523.5215873700064,178.0,HIMACHAL PRADESH,Mandi,35.65278003867345,100.0,100.0,100.0,198.5391,0.3792
2,28,140,Tira Sujanpur,10693,46007,183.91157195407592,250.0,HIMACHAL PRADESH,Hamirpur,58.14207277109306,82.7352359423566,83.45646684747031,98.35246908728688,95.7357,0.5206
2,28,141,Nadaun,18065,81089,182.2736175141844,445.0,HIMACHAL PRADESH,Hamirpur,99.10924162458232,94.53686689933282,94.54746747854968,98.74913329142512,88.6886,0.4866
2,28,142,Galore,6043,26957,78.18161285907475,345.0,HIMACHAL PRADESH,Hamirpur,77.29438903866989,100.0,100.0,100.0,93.2504,1.1927
2,28,143,Hamirpur,27322,116948,229.77429627104,509.0,HIMACHAL PRADESH,Hamirpur,118.907991204426,84.94715600095769,84.07876436571262,97.71950123010323,263.2988,1.1459
