subdistrict_name,state_name,fiber_length_km
Addateegala,ANDHRA PRADESH,0.0
Rajavommangi,ANDHRA PRADESH,1.9674
Kotananduru,ANDHRA PRADESH,0.0
Tuni,ANDHRA PRADESH,0.0
Rowthulapudi,ANDHRA PRADESH,0.0
Sankhavaram,ANDHRA PRADESH,0.0
Yeleswaram,ANDHRA PRADESH,0.0
Gangavaram,ANDHRA PRADESH,0.0
Rampachodavaram,ANDHRA PRADESH,0.0
Seethanagaram,ANDHRA PRADESH,0.0
Gokavaram,ANDHRA PRADESH,0.0
Jaggampeta,ANDHRA PRADESH,0.0
Kirlampudi,ANDHRA PRADESH,0.0
Prathipadu,ANDHRA PRADESH,0.0
Thondangi,ANDHRA PRADESH,0.0
Gollaprolu,ANDHRA PRADESH,0.0
Peddapuram,ANDHRA PRADESH,0.0
Gandepalle,ANDHRA PRADESH,0.0
Korukonda,ANDHRA PRADESH,0.0
Rajahmundry (Urban),ANDHRA PRADESH,0.0
Rajahmundry Rural,ANDHRA PRADESH,0.0
Rajanagaram,ANDHRA PRADESH,0.0
Rangampeta,ANDHRA PRADESH,0.0
Samalkota,ANDHRA PRADESH,0.0
Pithapuram,ANDHRA PRADESH,0.0
Kothapalle,ANDHRA PRADESH,0.0
Kakinada (Rural),ANDHRA PRADESH,0.0
Kakinada (Urban),ANDHRA PRADESH,0.0
Pedapudi,ANDHRA PRADESH,0.0
Biccavolu,ANDHRA PRADESH,0.0
Anaparthy,ANDHRA PRADESH,0.0
Kadiam,ANDHRA PRADESH,0.0
Atreyapuram,ANDHRA PRADESH,0.0
Mandapeta,ANDHRA PRADESH,0.0
Rayavaram,ANDHRA PRADESH,0.0
Karapa,ANDHRA PRADESH,0.0
Kajuluru,ANDHRA PRADESH,0.0
Ramachandrapuram,ANDHRA PRADESH,0.0
Alamuru,ANDHRA PRADESH,0.0
Ravulapalem,ANDHRA PRADESH,0.0
Kothapeta,ANDHRA PRADESH,0.0
Kapileswarapuram,ANDHRA PRADESH,0.0
Pamarru,ANDHRA PRADESH,0.0
Thallarevu,ANDHRA PRADESH,0.0
I. Polavaram,ANDHRA PRADESH,0.0
Mummidivaram,ANDHRA PRADESH,0.0
Ainavilli,ANDHRA PRADESH,0.0
P.Gannavaram,ANDHRA PRADESH,0.0
Ambajipeta,ANDHRA PRADESH,0.0
Mamidikuduru,ANDHRA PRADESH,0.0
Razole,ANDHRA PRADESH,0.0
Malikipuram,ANDHRA PRADESH,0.0
Sakhinetipalle,ANDHRA PRADESH,0.0
Allavaram,ANDHRA PRADESH,0.0
Amalapuram,ANDHRA PRADESH,0.0
Uppalaguptam,ANDHRA PRADESH,0.0
Katrenikona,ANDHRA PRADESH,0.0
Velairpadu,ANDHRA PRADESH,0.0
Kukunoor,ANDHRA PRADESH,2.8807
Chintalapudi,ANDHRA PRADESH,0.7544
Lingapalem,ANDHRA PRADESH,0.0
